month,avg_price,median_price,avg_ppsf,txn_count,yoy_growth_pct,mom_growth_pct,rolling_3m_avg,rolling_6m_avg,rolling_12m_avg,t,forecast_price,is_forecast
2020-09-01,33261543.052881356,19080328.83,11785.206440677965,59.0,4.846107918492004,5.7996094395736275,31111187.267211735,29745662.200746182,29012620.874306243,32.0,28975902.08138075,False
2020-10-01,32738557.54380282,15968502.0,12105.0138028169,71.0,22.584836218882565,-1.5723428953583474,32479449.36027934,31716225.260196414,29515262.54338472,33.0,29022940.996414207,False
2020-11-01,30808880.133333333,14877530.85,11636.58304347826,69.0,0.9689812642702744,-5.894204128840008,32269660.24333917,31309044.436315697,29539901.486329164,34.0,29069979.91144766,False
2020-12-01,21957181.440144926,17671557.8,11291.831449275362,69.0,-22.4149374979817,-28.73099786451312,28501539.70576036,29806363.486486048,29011267.887561474,35.0,29117018.826481115,False
2021-01-01,31858251.000400003,13610734.62,12176.5032,75.0,32.84048923589322,45.09262533192295,28208104.19129275,30343776.775786046,29667594.229948413,36.0,29164057.74151457,False
2021-02-01,25475128.70307692,18588339.92,12044.842499999999,52.0,-19.033779199055335,-20.036009814986187,26430187.047873948,29349923.64560656,29168530.16553035,37.0,29211096.656548023,False
2021-03-01,36481276.96484375,22800446.28,11357.18578125,64.0,27.066462748279328,43.20350405310216,31271552.222773556,29886545.964266956,29816104.08250657,38.0,29258135.57158148,False
2021-04-01,23218539.583846156,14392491.29,11305.319230769232,65.0,11.012864753103369,-36.354915409837815,28391648.41725561,28299876.304274183,30008050.7822353,39.0,29305174.48661493,False
2021-05-01,31858923.79761194,16277211.5,12872.288805970149,67.0,-4.1893502407930665,37.21329751410016,30519580.11543395,28474883.58165395,29891964.008984823,40.0,29352213.401648387,False
2021-06-01,31916141.895714287,20242670.245,12102.22642857143,56.0,3.044156602389947,0.17959833943490544,28997868.42572413,30134710.32424884,29970536.90536745,41.0,29399252.316681843,False
2021-07-01,32557092.01174603,15906342.48,12025.068095238095,63.0,13.701725528542031,2.008231816132544,32110719.235024083,30251183.82613985,30297480.300962944,42.0,29446291.231715295,False
2021-08-01,24948631.96703125,11974338.1,11778.5171875,64.0,-20.64242137031851,-23.36959345745554,29807288.624830525,30163434.370132238,29756679.007869396,43.0,29493330.14674875,False
2021-09-01,25442678.803188406,13467691.51,12273.172753623188,69.0,-23.507220447536103,1.9802562192990036,27649467.593988564,28323668.009856347,29105106.987061653,44.0,29540369.061782204,False
2021-10-01,30284176.63,16225920.165,12401.10484375,64.0,-7.4969121975486,19.029041180226947,26891829.13340655,29501274.18421532,28900575.24424475,45.0,29587407.97681566,False
2021-11-01,34485761.69709091,15260616.0,11577.31309090909,55.0,11.934486251512322,13.873862639305678,30070872.376759768,29939080.500795145,29206982.04122455,46.0,29634446.891849115,False
2021-12-01,31683600.12732143,14788549.719999999,12707.082321428572,56.0,44.29720961085388,-8.125560903605788,32151179.484804112,29900323.539396342,30017516.931822594,47.0,29681485.806882568,False
2022-01-01,25814397.90262295,20995899.12,12890.109016393442,61.0,-18.971076276915422,-18.524417052080345,30661253.242345095,28776541.187875822,29513862.507007837,48.0,29728524.721916024,False
2022-02-01,26980106.627758622,14538404.335,11293.160689655171,58.0,5.907636197731669,4.515730831813158,28159368.219234332,29115120.297997054,29639277.334064644,49.0,29775563.63694948,False
2022-03-01,26259357.26612245,15169576.87,11262.732857142857,49.0,-28.019632395466733,-2.6714103527471833,26351287.26550134,29251233.375152726,28787450.692504536,50.0,29822602.55198293,False
2022-04-01,26701129.644545455,14803512.75,12240.488,55.0,14.999177911784955,1.682342693866845,26646864.51280884,28654058.877576966,29077666.530896142,51.0,29869641.467016388,False
2022-05-01,32136304.523472223,15466303.27,13555.185416666667,72.0,0.8706531570946474,20.355599000048574,28365597.144713372,28262482.681973856,29100781.5913845,52.0,29916680.38204984,False
2022-06-01,30838856.755774647,18307159.02,12013.99,71.0,-3.3753614188696712,-4.037327212747588,29892096.974597443,28121692.120049387,29011007.829722863,53.0,29963719.297083296,False
2022-07-01,31273895.980769232,15664160.505,12667.929102564101,78.0,-3.9413717616851196,1.410685319627225,31416352.42000537,29031608.466407105,28904074.827141464,54.0,30010758.212116748,False
2022-08-01,23868554.69882353,14078641.015,11982.016176470588,68.0,-4.329204381366503,-23.678985459628542,28660435.811789136,28513016.47825126,28814068.388124153,55.0,30057797.127150204,False
2022-09-01,27020493.756721314,13779027.1,12739.967049180328,61.0,6.201449799127201,13.20540392021785,27387648.145438027,28639872.560017735,28945552.967585232,56.0,30104836.04218366,False
2022-10-01,25264682.088139534,15723461.91,12652.638837209302,43.0,-16.57464425461075,-6.498073959677453,25384576.84789479,28400464.633950084,28527261.755763527,57.0,30151874.957217112,False
2022-11-01,29077453.63590909,16773066.059999999,11481.480606060606,66.0,-15.682727580983203,15.091310211100794,27120876.493589982,27890656.152689558,28076569.417331707,58.0,30198913.872250568,False
2022-12-01,26855561.373636365,14208322.56,11991.988181818182,66.0,-15.238289633385904,-7.641288986628492,27065899.032561664,27226773.58899985,27674232.854524616,59.0,30245952.787284024,False
2023-01-01,33593567.935614035,21979500.69,12866.31350877193,57.0,30.13500474555193,25.08979971869907,29842194.315053165,27613385.581473976,28322497.023940545,60.0,30292991.702317476,False
2023-02-01,31243521.247457627,14611502.22,12704.736440677965,59.0,15.802067347326831,-6.995525728795893,30564216.852236006,28842546.672912996,28677781.575582128,61.0,30340030.617350932,False
2023-03-01,31954507.217432436,19782192.905,12495.98135135135,74.0,21.68807824804371,2.2756268870707475,32263865.466834698,29664882.24969818,29152377.40485796,62.0,30387069.532384384,False
2023-04-01,26225098.820441175,18194619.735,12791.9375,68.0,-1.782811553074215,-17.92989126074097,29807709.095110413,29824951.705081787,29112708.169515938,63.0,30434108.44741784,False
2023-05-01,26984423.48546875,16686048.674999999,12539.1353125,64.0,-16.03134247822603,2.8954120258098515,28388009.841114122,29476113.346675064,28683384.74968231,64.0,30481147.362451293,False
2023-06-01,25780992.716101695,17650350.3,11876.27779661017,59.0,-16.4009453389541,-4.459723847778729,26330171.674003873,29297018.570419285,28261896.079709563,65.0,30528186.27748475,False
2023-07-01,30303815.150694445,13683398.205,12024.430416666666,72.0,-3.101886732216874,17.543243909952277,27689743.7840883,28748726.439599354,28181056.01053667,66.0,30575225.192518204,False
2023-08-01,32633293.02419753,16496087.6,12368.356913580248,81.0,36.72085903804645,7.687077887451088,29572700.29699789,28980355.069056004,28911450.8709845,67.0,30622264.107551657,False
2023-09-01,32545982.44,17968574.85,13332.484833333332,60.0,20.44925134613511,-0.26755063956551695,31827696.871630657,29078934.272817265,29371908.261257723,68.0,30669303.022585113,False
2023-10-01,27767424.43107692,16206728.23,14300.314307692308,65.0,9.906090780031217,-14.682481986010309,30982233.29842482,29335988.54125656,29580470.123169173,69.0,30716341.93761857,False
2023-11-01,32495185.321475413,17476358.74,11475.57737704918,61.0,11.753889210386713,17.02628525066676,30936197.397517443,30254448.84725767,29865281.096966367,70.0,30763380.85265202,False
2023-12-01,36941931.946333334,17179071.060000002,12492.388,60.0,37.55784670581708,13.684324557211113,32401513.89962856,32114605.385629606,30705811.97802445,71.0,30810419.767685477,False
2024-01-01,29978095.97653846,16553675.115,12397.413461538461,52.0,-10.76239346176341,-18.850762813139955,33138404.4147824,32060318.85660361,30404522.64810148,72.0,30857458.68271893,False
2024-02-01,33131851.450833336,21188498.09,13701.2525,48.0,6.043909674647718,10.5201994041352,33350626.457901713,32143411.927709576,30561883.498382792,73.0,30904497.597752385,False
2024-03-01,34281723.59863637,18216028.560000002,12508.366515151514,66.0,7.282904929087253,3.4705942995953754,32463890.34200272,32432702.120815635,30755818.196816448,74.0,30951536.512785837,False
2024-04-01,31330360.596666668,17715347.259999998,11968.333717948719,78.0,19.467083083958457,-8.609144150754123,32914645.215378787,33026524.815080598,31181256.678168576,75.0,30998575.427819293,False
2024-05-01,34535646.76,17705532.16,13336.545789473685,57.0,27.9836375922488,10.230607316005003,33382576.98510101,33366601.72150136,31810525.284379512,76.0,31045614.34285275,False
2024-06-01,33773045.320933335,18358396.9,12589.814666666667,75.0,30.99978613251828,-2.208157398546029,33213017.5592,32838453.950601358,32476529.668115485,77.0,31092653.2578862,False
2024-07-01,,,,,,,,,,,31139692.172919657,True
2024-08-01,,,,,,,,,,,31186731.087953113,True
2024-09-01,,,,,,,,,,,31233770.002986565,True
2024-10-01,,,,,,,,,,,31280808.91802002,True
2024-11-01,,,,,,,,,,,31327847.833053473,True
2024-12-01,,,,,,,,,,,31374886.74808693,True
